,"CountFreq.","Win/Loss",EV,"StandardDeviation",Optimal Bets,Optimal Bets,Custom,,,,,,,,
Count,"CountFreq.","Win/Loss",Std. Error,"StandardDeviation",Exact,Chips,Bets,,,,,,,,
<=-2,14.97%,-2.41%,0.01,1.202,1,15,15,,,,,,,,
-1,4.66%,-1.29%,0.03,1.189,1,15,15,,,,,,,,
-1,7.30%,-1.07%,0.02,1.186,1,15,15,,,,,,,,
#NAME?,9.80%,-0.79%,0.02,1.183,1,15,15,,,,,,,,
0,27.72%,-0.39%,0.01,1.18,1,15,15,,,,,,,,
,9.42%,-0.01%,0.02,1.179,1,15,15,,,,,,,,
1,7.06%,0.25%,0.02,1.178,1.95,30,30,,,,,,,,
1,4.51%,0.52%,0.03,1.177,4.04,60,30,,,,,,,,
2,4.02%,0.82%,0.03,1.175,6.44,90,60,,,,,,,,
2,2.62%,1.07%,0.04,1.174,8.38,120,60,,,,,,,,
3,2.05%,1.36%,0.04,1.175,9,135,90,,,,,,,,
3,1.06%,1.54%,0.06,1.178,9,135,90,,,,,,,,
4,1.50%,1.90%,0.05,1.183,9,135,120,,,,,,,,
4,0.82%,2.22%,0.06,1.188,9,135,120,,,,,,,,
5,0.67%,2.46%,0.07,1.193,9,135,135,,,,,,,,
5,0.41%,3.00%,0.09,1.197,9,135,135,,,,,,,,
6,0.41%,3.30%,0.09,1.203,9,135,135,,,,,,,,
6,0.27%,3.67%,0.11,1.209,9,135,135,,,,,,,,
7,0.21%,4.03%,0.13,1.215,9,135,135,,,,,,,,
7,0.08%,4.29%,0.2,1.218,9,135,135,,,,,,,,
8,0.15%,4.63%,0.15,1.214,9,135,135,,,,,,,,
8,0.09%,5.22%,0.2,1.214,9,135,135,,,,,,,,
9,0.07%,5.35%,0.23,1.21,9,135,135,,,,,,,,
9,0.03%,5.97%,0.31,1.208,9,135,135,,,,,,,,
10,0.04%,6.12%,0.3,1.209,9,135,135,,,,,,,,
10,0.03%,6.62%,0.37,1.202,9,135,135,,,,,,,,
11,0.02%,6.88%,0.44,1.207,9,135,135,,,,,,,,
11,0.00%,7.77%,0.91,1.197,9,135,135,,,,,,,,
12,0.01%,8.47%,0.55,1.204,9,135,135,,,,,,,,
12,0.01%,7.44%,0.7,1.195,9,135,135,,,,,,,,
13,0.01%,9.41%,0.85,1.193,9,135,135,,,,,,,,
13,0.00%,9.02%,1.41,1.191,9,135,135,,,,,,,,
14,0.00%,9.26%,1.19,1.188,9,135,135,,,,,,,,
14,0.00%,8.97%,1.5,1.206,9,135,135,,,,,,,,
15,0.00%,8.67%,1.87,1.186,9,135,135,,,,,,,,
15,,,,,,,,,,,,,,,
>=16,0.00%,9.96%,1.59,1.187,9,135,135,,,,,,,,
,"AverageBet",Results,Results,Results,Std Dev,Std Dev,"Risk ofRuin",Perform,Perform,Perform,Perform,Rounds,Std Err,Std Err,Std Err
Bets,"AverageBet",EV,Win/Rnd,Win/Hour,Round,Hour,"Risk ofRuin",DI,SCORE,CE,CE/WR,N0,%W/L,Win/Hour,SCORE
Optimal,$33.36 ,0.67%,$0.22 ,$17.81 ,$59.60 ,$533.04 ,36.70%,3.74,13.96,$0.05 ,0,"71,641",0.01,$0.34 ,0.54
Custom,$27.48 ,0.59%,$0.16 ,$12.96 ,$46.72 ,$417.91 ,30.50%,3.47,12.02,$2.05 ,0.16,"83,178",0.009,$0.25 ,0.47
